time_min,time_days,m_sodium_mEq,v_ecf_L,prc_pg_per_mL,agt_fmol_per_mL,angi_fmol_per_mL,angii_fmol_per_mL,ang17_fmol_per_mL,angiv_fmol_per_mL,at1_bound_fmol_per_mL,at2_bound_fmol_per_mL,n_aldo,n_adh,baro_integral_min,ra_integral_min,a_auto,a_baro,a_chemo,alpha_map,alpha_rap,at1_bound_pg_per_mL,autonomic_adh_stimulus,beta_rsna,c_adh_mU_per_L,c_aldo_ng_per_L,c_anp_hat,c_sodium_mEq_per_L,delta_ra,delta_rihp_mmHg,epsilon_aum,epsilon_aum_adh,eta_cd,eta_dt,eta_pt,gamma_at1_tubule,gamma_filtered_sodium,gamma_rihp_cd,gamma_rihp_dt,gamma_rihp_pt,gamma_rsna_tubule,gfr_L_per_min,gfr_mL_per_min,implied_p_gh_mmHg,lambda_aldo_cd,lambda_anp,lambda_dt,mu_adh,mu_aldo,n_adh_stimulus,n_aldo_stimulus,net_filtration_pressure_mmHg,p_b_cvp_mmHg,p_b_total_mmHg,p_gh_mmHg,p_gh_residual_mmHg,p_ma_mmHg,p_peritubular_mmHg,p_ra_mmHg,phi_cd_reab_mEq_per_min,phi_dt_reab_mEq_per_min,phi_dt_sodium_mEq_per_min,phi_filtered_sodium_mEq_per_min,phi_md_sodium_mEq_per_min,phi_pt_reab_mEq_per_min,phi_tubular_water_reab_L_per_min,phi_urine_L_per_min,phi_urine_sodium_mEq_per_min,phi_water_in_L_per_min,pra_fmol_per_mL_per_min,psi_aldo_dt,psi_at1_aa,psi_at1_ea,psi_at1_preglom,r_aa_equivalent_mmHg_min_per_L,r_aa_single_mmHg_min_per_L,r_ea_equivalent_mmHg_min_per_L,r_ea_single_mmHg_min_per_L,r_preglom_mmHg_min_per_L,r_renal_mmHg_min_per_L,raw_v_at1,raw_v_md,raw_v_rsna,renal_blood_flow_L_per_min,renin_secretion_pg_per_mL_per_min,rsna,sigma_myo,sigma_tgf,sngfr_nL_per_min,sodium_adh_stimulus,sodium_intake_mEq_per_min,v_at1,v_md,v_rsna,xi_at1,xi_k_sodium,xi_map
5.550000000000000000e+02,3.854166666666666852e-01,2.068961045007396478e+03,1.454490710634670414e+01,2.817010950543464887e+01,4.747595787397799431e+05,1.232008523300645031e+01,6.500781300974644239e+00,2.103014128313288822e+01,1.836651301710336748e+00,2.213360208103337357e+01,7.315343060680522314e+00,1.015645886297280365e+00,4.154751531880568338e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573182513549710e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900612752227335e+00,8.632990033526883167e+01,1.021838151365224157e+00,1.422464254931267646e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055461863292528e-01,4.571193630653981876e-01,6.057451704204124265e-01,1.005698949558650579e+00,8.815911002228480342e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782677417867896e-02,8.352782677417867774e+01,5.669498422169611018e+01,9.669441585343967471e-01,1.017716184863477480e+00,9.698598555525230758e-01,8.130800007534375595e-01,1.006969752955110486e+00,4.154751643755882351e-01,1.015645863141594551e+00,1.069498422204592458e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422204592458e+01,3.498143996694125235e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220184159687726e+00,2.141308218796031060e+00,2.543044254126195280e+00,1.188153478783600647e+01,4.684352472922226340e+00,7.197182314913780132e+00,9.057874499280849090e-02,2.999999999999999737e-04,2.858240699665075546e-01,-8.235722330981213798e-04,2.863961133052522712e+01,9.142387261307963753e-01,2.065575867822788236e+00,2.075444996472218140e+00,2.065575867822788236e+00,5.512983181513156694e+01,1.102596636302631348e+08,1.037722498236109061e+02,2.075444996472218037e+08,2.413395099833727642e+01,1.830360326370797566e+02,9.938671748477445611e-01,1.038573013301136250e+01,1.086616004830798232e+00,5.463405131724966557e-01,1.627169331317353640e+00,1.050000000000000044e+00,7.245820185038273076e-01,1.142163415740128585e+00,4.176391338708933176e+01,1.246425493126764650e+00,1.260000000000000009e-01,9.938671741159428308e-01,1.012707250839282702e+00,1.000000000000000000e+00,1.061501282461692952e+00,9.717072776678978840e-01,9.846600667382185978e-01
5.700000000000000000e+02,3.958333333333333148e-01,2.066563683917980143e+03,1.452805352120619453e+01,2.817010949914653395e+01,4.747580404086642666e+05,1.232008523021561608e+01,6.500781299472838448e+00,2.103014197923274509e+01,1.836651301275415316e+00,2.213360206977416311e+01,7.315343056959257240e+00,1.015645881239332970e+00,4.154751858897675065e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573181335633635e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900743559070026e+00,8.632989990534329650e+01,1.021838151365224157e+00,1.422464255725293754e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055457296496698e-01,4.571193623824577057e-01,6.057451704114983349e-01,1.005698949546782073e+00,8.815911002202785340e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676952059948e-02,8.352782676952060115e+01,5.669498422109966640e+01,9.669441582454721962e-01,1.017716184863477480e+00,9.698598553433187552e-01,8.130800257554215982e-01,1.006969752684551800e+00,4.154751908431251195e-01,1.015645857133734786e+00,1.069498422144950212e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422144950212e+01,3.498357159514853265e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220187023048830e+00,2.141308216721185875e+00,2.543044258660548618e+00,1.188153479380573785e+01,4.684352475381734493e+00,7.197182318424003356e+00,9.057874503003381095e-02,2.999999999999999737e-04,2.858240716374997881e-01,-8.235719799389454657e-04,2.863961132413231070e+01,9.142387247649154114e-01,2.065575867170870161e+00,2.075444995879526022e+00,2.065575867170870161e+00,5.512983180369384684e+01,1.102596636073876917e+08,1.037722497939763002e+02,2.075444995879526138e+08,2.413395098906489977e+01,1.830360325867350184e+02,9.938671753280391430e-01,1.038573012702839904e+01,1.086616004830798232e+00,5.463405133227696719e-01,1.627169331166325117e+00,1.050000000000000044e+00,7.245820184541253983e-01,1.142163415941989779e+00,4.176391338476030057e+01,1.246425572529375358e+00,1.260000000000000009e-01,9.938671745962374127e-01,1.012707250255887148e+00,1.000000000000000000e+00,1.061501282263204393e+00,9.717072721016464243e-01,9.846600667382185978e-01
5.850000000000000000e+02,4.062500000000000000e-01,2.064166322807700453e+03,1.451119994042651129e+01,2.817010949653607454e+01,4.747565289460946806e+05,1.232008522905516301e+01,6.500781298847037704e+00,2.103014240196116802e+01,1.836651301093697120e+00,2.213360206450845169e+01,7.315343055218894719e+00,1.015645874657615355e+00,4.154752008763989424e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180784745233e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900803505595769e+00,8.632989934589730296e+01,1.021838151365224157e+00,1.422464256079315419e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055451835416221e-01,4.571193614937728023e-01,6.057451704073667509e-01,1.005698949541231402e+00,8.815911002191313406e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676746851875e-02,8.352782676746852530e+01,5.669498422083692191e+01,9.669441578695052719e-01,1.017716184863477480e+00,9.698598551237036514e-01,8.130800372133999421e-01,1.006969752332483869e+00,4.154752026438472967e-01,1.015645854450946350e+00,1.069498422118675052e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422118675052e+01,3.498286105241277255e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220189859271642e+00,2.141308213061032362e+00,2.543044263420545903e+00,1.188153479647090371e+01,4.684352476481578265e+00,7.197182319989325450e+00,9.057874504685534123e-02,2.999999999999999737e-04,2.858240735612742611e-01,-8.235718639204581137e-04,2.863961132147834476e+01,9.142387229875456045e-01,2.065575866865980714e+00,2.075444995602335307e+00,2.065575866865980714e+00,5.512983179824750124e+01,1.102596635964950025e+08,1.037722497801167663e+02,2.075444995602335334e+08,2.413395098477329270e+01,1.830360325631375531e+02,9.938671755526637952e-01,1.038573012435293563e+01,1.086616004830798232e+00,5.463405133932052182e-01,1.627169331114908246e+00,1.050000000000000044e+00,7.245820184322290247e-01,1.142163416032258461e+00,4.176391338373425555e+01,1.246425607931541890e+00,1.260000000000000009e-01,9.938671748208620649e-01,1.012707249995004055e+00,1.000000000000000000e+00,1.061501282170375315e+00,9.717072696198965076e-01,9.846600667382185978e-01
6.000000000000000000e+02,4.166666666666666852e-01,2.061768961679655149e+03,1.449434636196873782e+01,2.817010949588993185e+01,4.747550434995166142e+05,1.232008522876583356e+01,6.500781298689510379e+00,2.103014265881716227e+01,1.836651301047409923e+00,2.213360206254670359e+01,7.315343054570520920e+00,1.015645868093170368e+00,4.154752061505445071e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180579511359e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900824602178028e+00,8.632989878791947547e+01,1.021838151365224157e+00,1.422464256194033112e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055446557654660e-01,4.571193606074200333e-01,6.057451704058648412e-01,1.005698949539163500e+00,8.815911002187579726e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676682923846e-02,8.352782676682923579e+01,5.669498422075507449e+01,9.669441574945251139e-01,1.017716184863477480e+00,9.698598549231293164e-01,8.130800412457299675e-01,1.006969751981339867e+00,4.154752064677704193e-01,1.015645853577302082e+00,1.069498422110489599e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422110489599e+01,3.498215050967701245e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220192375803514e+00,2.141308209073502500e+00,2.543044267767848421e+00,1.188153479733817974e+01,4.684352476841350921e+00,7.197182320496828822e+00,9.057874505253835085e-02,2.999999999999999737e-04,2.858240753920449073e-01,-8.235718230908441184e-04,2.863961132082143024e+01,9.142387212148400666e-01,2.065575866752394241e+00,2.075444995499067691e+00,2.065575866752394241e+00,5.512983179612215423e+01,1.102596635922443122e+08,1.037722497749533801e+02,2.075444995499067605e+08,2.413395098321896626e+01,1.830360325542945077e+02,9.938671756363477439e-01,1.038573012347776015e+01,1.086616004830798232e+00,5.463405134196006596e-01,1.627169331114799666e+00,1.050000000000000044e+00,7.245820184254078145e-01,1.142163416061786396e+00,4.176391338341461790e+01,1.246425619403311202e+00,1.260000000000000009e-01,9.938671749045460135e-01,1.012707249909666096e+00,1.000000000000000000e+00,1.061501282135791424e+00,9.717072688157060156e-01,9.846600667382185978e-01
6.150000000000000000e+02,4.270833333333333148e-01,2.059371600537884206e+03,1.447749278317520805e+01,2.817010949497481676e+01,4.747535829576512915e+05,1.232008522835796249e+01,6.500781298468792713e+00,2.103014288992237013e+01,1.836651300983041413e+00,2.213360206038319333e+01,7.315343053855462685e+00,1.015645863554700323e+00,4.154752121433395451e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180353169036e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900848573358180e+00,8.632989840214952437e+01,1.021838151365224157e+00,1.422464256332526418e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055442866834788e-01,4.571193599946210551e-01,6.057451704041822982e-01,1.005698949536882880e+00,8.815911002183085543e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676603684453e-02,8.352782676603683854e+01,5.669498422065363030e+01,9.669441572352743819e-01,1.017716184863477480e+00,9.698598547798770175e-01,8.130800458275010412e-01,1.006969751738568952e+00,4.154752110842139246e-01,1.015645852526048332e+00,1.069498422100343760e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422100343760e+01,3.498072942420549225e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220194193128471e+00,2.141308206400242220e+00,2.543044270872737656e+00,1.188153479838226900e+01,4.684352477272979876e+00,7.197182321109289127e+00,9.057874505915133878e-02,2.999999999999999737e-04,2.858240766796091847e-01,-8.235717766978314230e-04,2.863961131989106335e+01,9.142387199892421101e-01,2.065575866627125112e+00,2.075444995385178792e+00,2.065575866627125112e+00,5.512983179384536925e+01,1.102596635876907408e+08,1.037722497692589485e+02,2.075444995385178924e+08,2.413395098147372408e+01,1.830360325445780632e+02,9.938671757286388075e-01,1.038573012242778582e+01,1.086616004830798232e+00,5.463405134486030157e-01,1.627169331101396166e+00,1.050000000000000044e+00,7.245820184169529110e-01,1.142163416097211837e+00,4.176391338301841927e+01,1.246425633252641774e+00,1.260000000000000009e-01,9.938671749968370772e-01,1.012707249807283549e+00,1.000000000000000000e+00,1.061501282097651044e+00,9.717072678448452905e-01,9.846600667382185978e-01
6.300000000000000000e+02,4.375000000000000000e-01,2.056974239379519076e+03,1.446063920593307195e+01,2.817010949537654341e+01,4.747521481095943018e+05,1.232008522853429078e+01,6.500781298562267274e+00,2.103014299577936796e+01,1.836651301009597725e+00,2.213360206050726475e+01,7.315343053896468106e+00,1.015645859615867730e+00,4.154752114478548197e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180366149231e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900845791419279e+00,8.632989806734875060e+01,1.021838151365224157e+00,1.422464256307259802e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055439766760147e-01,4.571193594627870893e-01,6.057451704043164131e-01,1.005698949537013664e+00,8.815911002183889345e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676620859603e-02,8.352782676620859093e+01,5.669498422067560739e+01,9.669441570102768058e-01,1.017716184863477480e+00,9.698598546668171227e-01,8.130800452957706037e-01,1.006969751527873713e+00,4.154752102419934090e-01,1.015645852713274566e+00,1.069498422102542889e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422102542889e+01,3.498215050967701245e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220195579835220e+00,2.141308203874583871e+00,2.543044273323228577e+00,1.188153479819565383e+01,4.684352477197812448e+00,7.197182320997841387e+00,9.057874505812900379e-02,2.999999999999999737e-04,2.858240777433933566e-01,-8.235717820819030838e-04,2.863961132029948686e+01,9.142387189255741786e-01,2.065575866634308699e+00,2.075444995391709568e+00,2.065575866634308699e+00,5.512983179387878607e+01,1.102596635877575725e+08,1.037722497695854713e+02,2.075444995391709507e+08,2.413395098161871033e+01,1.830360325450829748e+02,9.938671757233460413e-01,1.038573012261063688e+01,1.086616004830798232e+00,5.463405134470959990e-01,1.627169331121378626e+00,1.050000000000000044e+00,7.245820184187858892e-01,1.142163416091042549e+00,4.176391338310429546e+01,1.246425630725980227e+00,1.260000000000000009e-01,9.938671749915443110e-01,1.012707249825113287e+00,1.000000000000000000e+00,1.061501282099838406e+00,9.717072680219693837e-01,9.846600667382185978e-01
6.450000000000000000e+02,4.479166666666666852e-01,2.054576878210614723e+03,1.444378562911779618e+01,2.817010949614126147e+01,4.747507378951246501e+05,1.232008522887202595e+01,6.500781298742811742e+00,2.103014304683188129e+01,1.836651301061447139e+00,2.213360206136374231e+01,7.315343054179541227e+00,1.015645856584976858e+00,4.154752086729703309e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180455752222e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900834691881323e+00,8.632989780972303606e+01,1.021838151365224157e+00,1.422464256232598814e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055437420422578e-01,4.571193590535463924e-01,6.057451704050252905e-01,1.005698949537916498e+00,8.815911002186292977e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676666697936e-02,8.352782676666697625e+01,5.669498422073430532e+01,9.669441568371434093e-01,1.017716184863477480e+00,9.698598545840952934e-01,8.130800431742420953e-01,1.006969751365745847e+00,4.154752077532937737e-01,1.015645853274773192e+00,1.069498422108411972e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422108411972e+01,3.498143996694125235e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220196574569293e+00,2.141308201853066251e+00,2.543044275116162822e+00,1.188153479763723119e+01,4.684352476969229073e+00,7.197182320668002120e+00,9.057874505477382654e-02,2.999999999999999737e-04,2.858240785415935292e-01,-8.235718035635728254e-04,2.863961132107694851e+01,9.142387181070927848e-01,2.065575866683899697e+00,2.075444995436795281e+00,2.065575866683899697e+00,5.512983179466890959e+01,1.102596635893378258e+08,1.037722497718397676e+02,2.075444995436795354e+08,2.413395098236101433e+01,1.830360325488696844e+02,9.938671756868104890e-01,1.038573012316668454e+01,1.086616004830798232e+00,5.463405134357930404e-01,1.627169331148680342e+00,1.050000000000000044e+00,7.245820184236764216e-01,1.142163416072281779e+00,4.176391338333348813e+01,1.246425623259881377e+00,1.260000000000000009e-01,9.938671749550087586e-01,1.012707249879333249e+00,1.000000000000000000e+00,1.061501282114937217e+00,9.717072685453551628e-01,9.846600667382185978e-01
6.600000000000000000e+02,4.583333333333333148e-01,2.052179517036473499e+03,1.442693205174478521e+01,2.817010949643382389e+01,4.747493513859630912e+05,1.232008522900099123e+01,6.500781298811571851e+00,2.103014310475710147e+01,1.836651301081125842e+00,2.213360206159098098e+01,7.315343054254646482e+00,1.015645854731963560e+00,4.154752078540033255e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180479525561e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900831416013302e+00,8.632989765221689993e+01,1.021838151365224157e+00,1.422464256209125324e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055435970241492e-01,4.571193588033464761e-01,6.057451704052213559e-01,1.005698949538156084e+00,8.815911002187045709e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676681530516e-02,8.352782676681530916e+01,5.669498422075328392e+01,9.669441567312939689e-01,1.017716184863477480e+00,9.698598545318071196e-01,8.130800425481037319e-01,1.006969751266624913e+00,4.154752069708441131e-01,1.015645853450599656e+00,1.069498422110311253e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422110311253e+01,3.498286105241277255e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220197211714297e+00,2.141308200648443183e+00,2.543044276249473157e+00,1.188153479746226004e+01,4.684352476897916340e+00,7.197182320564343705e+00,9.057874505372562335e-02,2.999999999999999737e-04,2.858240790377588603e-01,-8.235718099035777354e-04,2.863961132137438881e+01,9.142387176066929522e-01,2.065575866697056728e+00,2.075444995448757712e+00,2.065575866697056728e+00,5.512983179485801344e+01,1.102596635897160321e+08,1.037722497724378883e+02,2.075444995448757708e+08,2.413395098256746962e+01,1.830360325498633642e+02,9.938671756771170207e-01,1.038573012334015999e+01,1.086616004830798232e+00,5.463405134328270796e-01,1.627169331159989296e+00,1.050000000000000044e+00,7.245820184252595997e-01,1.142163416066428905e+00,4.176391338340765458e+01,1.246425620912532395e+00,1.260000000000000009e-01,9.938671749453152904e-01,1.012707249896248829e+00,1.000000000000000000e+00,1.061501282118943124e+00,9.717072687099079786e-01,9.846600667382185978e-01
6.750000000000000000e+02,4.687500000000000000e-01,2.049782155852799406e+03,1.441007847461168545e+01,2.817010949693080946e+01,4.747479893341326388e+05,1.232008522922107652e+01,6.500781298929645402e+00,2.103014311958874671e+01,1.836651301115187040e+00,2.213360206229208771e+01,7.315343054486367791e+00,1.015645853838145651e+00,4.154752057218391581e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180552873822e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900822887356632e+00,8.632989757624237370e+01,1.021838151365224157e+00,1.422464256155298870e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055435300878038e-01,4.571193586826602928e-01,6.057451704057857933e-01,1.005698949538895048e+00,8.815911002188784318e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676713733923e-02,8.352782676713734134e+01,5.669498422079451672e+01,9.669441566802364774e-01,1.017716184863477480e+00,9.698598545098792156e-01,8.130800409179648192e-01,1.006969751218812936e+00,4.154752051766290033e-01,1.015645853856819603e+00,1.069498422114434533e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422114434533e+01,3.498286105241277255e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220197463345013e+00,2.141308200007268958e+00,2.543044276724743646e+00,1.188153479705846749e+01,4.684352476732012605e+00,7.197182320326454885e+00,9.057874505122585906e-02,2.999999999999999737e-04,2.858240792613986336e-01,-8.235718264096520205e-04,2.863961132187965575e+01,9.142387173653205856e-01,2.065575866737651811e+00,2.075444995485664190e+00,2.065575866737651811e+00,5.512983179554566249e+01,1.102596635910913199e+08,1.037722497742832104e+02,2.075444995485664308e+08,2.413395098315621112e+01,1.830360325529850911e+02,9.938671756472092778e-01,1.038573012374373405e+01,1.086616004830798232e+00,5.463405134235090888e-01,1.627169331174253442e+00,1.050000000000000044e+00,7.245820184286951848e-01,1.142163416052812686e+00,4.176391338356866356e+01,1.246425615529886954e+00,1.260000000000000009e-01,9.938671749154075474e-01,1.012707249935601128e+00,1.000000000000000000e+00,1.061501282131303014e+00,9.717072690872399221e-01,9.846600667382185978e-01
6.900000000000000000e+02,4.791666666666666852e-01,2.047384794665437312e+03,1.439322489740509603e+01,2.817010949736190994e+01,4.747466506836221670e+05,1.232008522941219475e+01,6.500781299032328597e+00,2.103014312153437970e+01,1.836651301144863746e+00,2.213360206295998367e+01,7.315343054707112991e+00,1.015645853472066040e+00,4.154752037349894178e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180622747529e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900814939957671e+00,8.632989754512561831e+01,1.021838151365224157e+00,1.422464256106046889e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055435046030784e-01,4.571193586332309988e-01,6.057451704063192555e-01,1.005698949539599152e+00,8.815911002190375267e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676742935564e-02,8.352782676742936019e+01,5.669498422083189837e+01,9.669441566593250936e-01,1.017716184863477480e+00,9.698598545030072682e-01,8.130800393989257024e-01,1.006969751199230600e+00,4.154752035348963091e-01,1.015645854228962364e+00,1.069498422118173409e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422118173409e+01,3.498357159514853265e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220197530738659e+00,2.141308199706172477e+00,2.543044276873686282e+00,1.188153479668861578e+01,4.684352476579858759e+00,7.197182320108757025e+00,9.057874504892331202e-02,2.999999999999999737e-04,2.858240793429476234e-01,-8.235718417907798156e-04,2.863961132231793982e+01,9.142387172664619976e-01,2.065575866776323544e+00,2.075444995520822289e+00,2.065575866776323544e+00,5.512983179621210894e+01,1.102596635924242139e+08,1.037722497760411215e+02,2.075444995520822406e+08,2.413395098371182712e+01,1.830360325559650505e+02,9.938671756187181794e-01,1.038573012411386109e+01,1.086616004830798232e+00,5.463405134146143149e-01,1.627169331185596812e+00,1.050000000000000044e+00,7.245820184318110257e-01,1.142163416040324675e+00,4.176391338371467299e+01,1.246425610604688927e+00,1.260000000000000009e-01,9.938671748869164491e-01,1.012707249971692036e+00,1.000000000000000000e+00,1.061501282143077152e+00,9.717072694325050719e-01,9.846600667382185978e-01
7.050000000000000000e+02,4.895833333333333148e-01,2.044987433478134108e+03,1.437637131992408790e+01,2.817010949755382754e+01,4.747453347573762876e+05,1.232008522949735330e+01,6.500781299078139064e+00,2.103014312996140589e+01,1.836651301158124250e+00,2.213360206326956003e+01,7.315343054809431145e+00,1.015645853357098671e+00,4.154752028285702004e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315573180655135133e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.661900811314280801e+00,8.632989753535338195e+01,1.021838151365224157e+00,1.422464256083872840e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.876055434970769875e-01,4.571193586177077495e-01,6.057451704065650588e-01,1.005698949539925335e+00,8.815911002191092471e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782676755991786e-02,8.352782676755991531e+01,5.669498422084861744e+01,9.669441566527575693e-01,1.017716184863477480e+00,9.698598545013711325e-01,8.130800387059259338e-01,1.006969751193080853e+00,4.154752027957613336e-01,1.015645854396655112e+00,1.069498422119845316e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498422119845316e+01,3.498357159514853265e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257220197543077234e+00,2.141308199602088180e+00,2.543044276909149914e+00,1.188153479652197220e+01,4.684352476511238095e+00,7.197182320010734102e+00,9.057874504787447045e-02,2.999999999999999737e-04,2.858240793660726808e-01,-8.235718488077926544e-04,2.863961132251305841e+01,9.142387172354154989e-01,2.065575866794247872e+00,2.075444995537119031e+00,2.065575866794247872e+00,5.512983179652466958e+01,1.102596635930493325e+08,1.037722497768559435e+02,2.075444995537118912e+08,2.413395098396765803e+01,1.830360325573482783e+02,9.938671756055121875e-01,1.038573012428078712e+01,1.086616004830798232e+00,5.463405134104855065e-01,1.627169331190128299e+00,1.050000000000000044e+00,7.245820184332043556e-01,1.142163416034692736e+00,4.176391338377995766e+01,1.246425608387284001e+00,1.260000000000000009e-01,9.938671748737104572e-01,1.012707249987968794e+00,1.000000000000000000e+00,1.061501282148534786e+00,9.717072695879469535e-01,9.846600667382185978e-01
