output,max_absolute_difference,max_relative_difference
p_ma_mmHg,2.6362482969943812e-06,2.6780990175069028e-08
p_ra_mmHg,5.163901284355177e-08,6.498848106035795e-07
cardiac_output_L_per_min,2.6191026947230966e-07,4.866072671191254e-08
gfr_mL_per_min,4.303127369098547e-06,5.3650491790791225e-08
renal_blood_flow_L_per_min,1.3194727754850533e-08,2.4700340016591872e-08
phi_urine_sodium_mEq_per_min,5.797093360904171e-08,2.2655336261484496e-07
p_b_cvp_mmHg,7.580607085415011e-09,6.49884810602003e-07
