closure_mode,p_ma_mmHg,p_ra_mmHg,p_ra_raw_mmHg,cardiac_output_L_per_min,mean_filling_pressure_mmHg,total_peripheral_resistance_mmHg_min_per_L,d_vascularity_per_min,gfr_mL_per_min
baseline_centered,100.00000000000001,1.1102230246251565e-16,0.8718661674960205,5.000000000000002,7.064516129032257,19.999999999999996,-8.470329472543003e-21,83.41725475626934
published_literal,95.80126489256162,0.7975150013208182,0.7975150013208182,4.609227139096059,7.42657534980623,20.78466996776161,2.38493851054411e-06,75.6186054764414
