time_min,time_days,m_sodium_mEq,v_ecf_L,prc_pg_per_mL,agt_fmol_per_mL,angi_fmol_per_mL,angii_fmol_per_mL,ang17_fmol_per_mL,angiv_fmol_per_mL,at1_bound_fmol_per_mL,at2_bound_fmol_per_mL,n_aldo,n_adh,baro_integral_min,ra_integral_min,a_auto,a_baro,a_chemo,alpha_map,alpha_rap,at1_bound_pg_per_mL,autonomic_adh_stimulus,beta_rsna,c_adh_mU_per_L,c_aldo_ng_per_L,c_anp_hat,c_sodium_mEq_per_L,delta_ra,delta_rihp_mmHg,epsilon_aum,epsilon_aum_adh,eta_cd,eta_dt,eta_pt,gamma_at1_tubule,gamma_filtered_sodium,gamma_rihp_cd,gamma_rihp_dt,gamma_rihp_pt,gamma_rsna_tubule,gfr_L_per_min,gfr_mL_per_min,implied_p_gh_mmHg,lambda_aldo_cd,lambda_anp,lambda_dt,mu_adh,mu_aldo,n_adh_stimulus,n_aldo_stimulus,net_filtration_pressure_mmHg,p_b_cvp_mmHg,p_b_total_mmHg,p_gh_mmHg,p_gh_residual_mmHg,p_ma_mmHg,p_peritubular_mmHg,p_ra_mmHg,phi_cd_reab_mEq_per_min,phi_dt_reab_mEq_per_min,phi_dt_sodium_mEq_per_min,phi_filtered_sodium_mEq_per_min,phi_md_sodium_mEq_per_min,phi_pt_reab_mEq_per_min,phi_tubular_water_reab_L_per_min,phi_urine_L_per_min,phi_urine_sodium_mEq_per_min,phi_water_in_L_per_min,pra_fmol_per_mL_per_min,psi_aldo_dt,psi_at1_aa,psi_at1_ea,psi_at1_preglom,r_aa_equivalent_mmHg_min_per_L,r_aa_single_mmHg_min_per_L,r_ea_equivalent_mmHg_min_per_L,r_ea_single_mmHg_min_per_L,r_preglom_mmHg_min_per_L,r_renal_mmHg_min_per_L,raw_v_at1,raw_v_md,raw_v_rsna,renal_blood_flow_L_per_min,renin_secretion_pg_per_mL_per_min,rsna,sigma_myo,sigma_tgf,sngfr_nL_per_min,sodium_adh_stimulus,sodium_intake_mEq_per_min,v_at1,v_md,v_rsna,xi_at1,xi_k_sodium,xi_map
3.450000000000000000e+02,2.395833333333333426e-01,1.907354762135466217e+03,1.389991452676408734e+01,2.875088631193009547e+01,4.747127191194231273e+05,1.257377285497090647e+01,6.634421063044724676e+00,2.140283463026101529e+01,1.874329833435550929e+00,2.256507647905143799e+01,7.457949005788186980e+00,1.356920914742710593e+00,-2.908046788606814537e-01,0.000000000000000000e+00,1.875001462219941857e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.360713171085403417e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.163218715442725815e+00,1.153382777531303987e+02,5.953763654987593412e+00,1.372206108507272972e+02,8.687498976446040855e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.727013822376129326e-01,4.986241221242143640e-01,6.038284551021401159e-01,1.006149632604673050e+00,8.818893348490720596e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.154362469641700251e-02,8.154362469641699818e+01,5.717492505687349791e+01,9.838981125827507279e-01,5.245236345012405099e-01,9.848922825008756821e-01,3.699999999999999956e-01,1.021686654500507663e+00,-2.895832992148680285e-01,1.407334033712415389e+00,1.044092505715966723e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.717492505715966900e+01,2.861710868273803499e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.050613428207031408e+00,2.210374819164638627e+00,2.222573209398654104e+00,1.118946599182479318e+01,4.432948028563292731e+00,6.756517963261500448e+00,8.742503207913557284e-02,2.999999999999999737e-04,1.171959781191622696e+00,-5.309999999999999616e-03,2.923006775046226124e+01,9.972482442484287279e-01,2.090555629201696686e+00,2.098155371855151774e+00,2.090555629201696686e+00,5.431428202218675949e+01,1.086285640443735123e+08,1.049077685927575772e+02,2.098155371855151653e+08,2.426357440057229553e+01,1.834856250155166322e+02,9.758046218554214946e-01,1.096646177126781829e+01,1.070801469537354889e+00,5.450018223037549348e-01,1.662377416651945827e+00,1.008000000000000007e+00,7.645770880966392680e-01,1.119255578866930279e+00,4.077181234820849909e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.758046211369195699e-01,1.069334096840678372e+00,9.854460681389412002e-01,1.069061058513663731e+00,1.336929033606169881e+00,9.846600667382185978e-01
3.600000000000000000e+02,2.500000000000000000e-01,1.891744997075592664e+03,1.381576452676408806e+01,2.877540664998684150e+01,4.747030192795026232e+05,1.258450660346319339e+01,6.640091761603208909e+00,2.142325248320419817e+01,1.875934441166291045e+00,2.258513977418715157e+01,7.464580094858464854e+00,1.381852552649417420e+00,-2.877672032041182493e-01,0.000000000000000000e+00,2.004632189384758192e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.362812152895911666e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.151068812816472997e+00,1.174574669752004752e+02,5.953763654987593412e+00,1.369265517960210161e+02,8.596757467430669042e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.735906096275661059e-01,5.013550978885449316e-01,6.038470047626145476e-01,1.006170389768119344e+00,8.818982327425023415e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.156812576825554773e-02,8.156812576825554117e+01,5.717806219795058098e+01,9.849735256419092089e-01,5.245236345012405099e-01,9.856676762062106523e-01,3.699999999999999956e-01,1.022545660944274681e+00,-2.865585822476889866e-01,1.431169764587738813e+00,1.044406219824014670e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.717806219824014846e+01,2.895674811043136287e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.044877951035025232e+00,2.218280870875898980e+00,2.206289419160405441e+00,1.116884219791139898e+01,4.424570290036304421e+00,6.744271907875094563e+00,8.744707741921621535e-02,2.999999999999999737e-04,1.161411468125380209e+00,-5.309999999999999616e-03,2.925499676081995659e+01,1.002710195777089863e+00,2.091717030780140263e+00,2.099211259890421566e+00,2.091717030780140263e+00,5.432197328858187291e+01,1.086439465771637410e+08,1.049605629945210836e+02,2.099211259890421629e+08,2.428535489716718843e+01,1.835678911802701521e+02,9.749810991016683026e-01,1.098472981751831945e+01,1.070801469537354889e+00,5.447575791007832624e-01,1.663741334672149907e+00,1.008000000000000007e+00,7.648385165200124458e-01,1.118410118332640701e+00,4.078406288412777059e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.749810983837726708e-01,1.071115404717892128e+00,9.854460681389412002e-01,1.069410330546475940e+00,1.359128289632979047e+00,9.846600667382185978e-01
3.750000000000000000e+02,2.604166666666666852e-01,1.876290476847078708e+03,1.373161452676409056e+01,2.879915715456823122e+01,4.746931212158579729e+05,1.259490325216747664e+01,6.645584294154824434e+00,2.144297005635595355e+01,1.877488607938668119e+00,2.260456266626629329e+01,7.470999525291401433e+00,1.406242591158656907e+00,-2.847614568627466758e-01,0.000000000000000000e+00,2.132908909259805341e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.364844137019447246e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.139045827450986703e+00,1.195306202484858318e+02,5.953763654987593412e+00,1.366401942896101787e+02,8.506963763518136101e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.744484499377762954e-01,5.039935726257348536e-01,6.038649843459612532e-01,1.006190467698107049e+00,8.819068930423905606e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.159217356818064537e-02,8.159217356818064104e+01,5.718114130165086095e+01,9.860080715195891354e-01,5.245236345012405099e-01,9.864170074217687434e-01,3.699999999999999956e-01,1.023364066662208804e+00,-2.835654587839378515e-01,1.454489649100667803e+00,1.044714130194374491e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.718114130194374667e+01,2.928857156803132966e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.039313438015756041e+00,2.225846465594219836e+00,2.190571890691310308e+00,1.114877044886779878e+01,4.416418356285530145e+00,6.732352092582268632e+00,8.746864078649373153e-02,2.999999999999999737e-04,1.151258452675554267e+00,-5.309999999999999616e-03,2.927914310714436752e+01,1.007987145251469707e+00,2.092841349650540472e+00,2.100233434073364602e+00,2.092841349650540472e+00,5.432915475330609922e+01,1.086583095066121966e+08,1.050116717036682417e+02,2.100233434073364735e+08,2.430656027442072897e+01,1.836473867313950450e+02,9.741852203286981426e-01,1.100243730639357764e+01,1.070801469537354889e+00,5.445217695706241479e-01,1.665062997267761746e+00,1.008000000000000007e+00,7.650951084953124814e-01,1.117582128855969081e+00,4.079608678409032052e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.741852196113885975e-01,1.072842052931206602e+00,9.854460681389412002e-01,1.069748265015924238e+00,1.380837964161996112e+00,9.846600667382185978e-01
3.900000000000000000e+02,2.708333333333333148e-01,1.860985417439091862e+03,1.364746452676409127e+01,2.882217067416602063e+01,4.746830397551752394e+05,1.260497717739816892e+01,6.650906253424806458e+00,2.146202794230995536e+01,1.878994481299883779e+00,2.262337359243113255e+01,7.477216695803509339e+00,1.430104303863691806e+00,-2.817871048529281275e-01,0.000000000000000000e+00,2.259845770970231342e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.366812098492960459e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.127148419411712510e+00,1.215588658284138006e+02,5.953763654987593412e+00,1.363612569785037181e+02,8.418107960320837524e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.752765010590201400e-01,5.065440727120129605e-01,6.038824185284906720e-01,1.006209897400873521e+00,8.819153246418899306e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.161577762223307109e-02,8.161577762223306820e+01,5.718416358769798080e+01,9.870040121994295701e-01,5.245236345012405099e-01,9.871415076770030383e-01,3.699999999999999956e-01,1.024144624330659115e+00,-2.806035986773612323e-01,1.477308668109974743e+00,1.045016358799399114e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.718416358799399291e+01,2.960121037176577374e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.033912889717635730e+00,2.233091278500373811e+00,2.175392402977743167e+00,1.112923002584573773e+01,4.408483681478116978e+00,6.720746344367620750e+00,8.748973816680259696e-02,2.999999999999999737e-04,1.141479513260107437e+00,-5.309999999999999616e-03,2.930254018540211902e+01,1.013088145424025921e+00,2.093930233082280878e+00,2.101223392029701209e+00,2.093930233082280878e+00,5.433585756568100322e+01,1.086717151313620061e+08,1.050611696014850622e+02,2.101223392029701173e+08,2.432721222012968809e+01,1.837242393872957393e+02,9.734156877983196621e-01,1.101960822633053638e+01,1.070801469537354889e+00,5.442939937239160697e-01,1.666344246393913986e+00,1.008000000000000007e+00,7.653469656661662235e-01,1.116771150636004517e+00,4.080788881111653410e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.734156870815766638e-01,1.074516380580879282e+00,9.854460681389412002e-01,1.070075374881620522e+00,1.402072756895035965e+00,9.846600667382185978e-01
4.050000000000000000e+02,2.812500000000000000e-01,1.845824383594275105e+03,1.356331452676409199e+01,2.884447869294518796e+01,4.746727888874683413e+05,1.261474216592098330e+01,6.656064925957963396e+00,2.148046123101755001e+01,1.880454123977061798e+00,2.264159882400015888e+01,7.483240289288187519e+00,1.453451548668824644e+00,-2.788438197363233284e-01,0.000000000000000000e+00,2.385456756879434579e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.368718785769248569e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.115375278945293314e+00,1.235433816368500999e+02,5.953763654987593412e+00,1.360894772403871968e+02,8.330180270184395219e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.760762744303732585e-01,5.090109105534257328e-01,6.038993301496529131e-01,1.006228707500612440e+00,8.819235358367750743e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.163894687373088321e-02,8.163894687373088743e+01,5.718713020120299717e+01,9.879634745251115735e-01,5.245236345012405099e-01,9.878423466021024613e-01,3.699999999999999956e-01,1.024889868555947103e+00,-2.776726756728131740e-01,1.499640808133897218e+00,1.045313020150203442e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.718713020150203619e+01,2.990390157719957642e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.028669579138355550e+00,2.240033987842499741e+00,2.160724309080854333e+00,1.111020160250177824e+01,4.400758296923354074e+00,6.709443305578424166e+00,8.751038438746801262e-02,2.999999999999999737e-04,1.132054729942498783e+00,-5.309999999999999616e-03,2.932522000449427324e+01,1.018021821106851466e+00,2.094985202869792396e+00,2.102182517308624377e+00,2.094985202869792396e+00,5.434211040343168975e+01,1.086842208068633825e+08,1.051091258654312242e+02,2.102182517308624387e+08,2.434733081366594831e+01,1.837985670825288480e+02,9.726713044448894729e-01,1.103626491460589421e+01,1.070801469537354889e+00,5.440738825515337718e-01,1.667586808195495429e+00,1.008000000000000007e+00,7.655941834585030525e-01,1.115976753659787546e+00,4.081947343686544372e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.726713037286945918e-01,1.076140565763373802e+00,9.854460681389412002e-01,1.070392133809120239e+00,1.422846388090224679e+00,9.846600667382185978e-01
4.200000000000000000e+02,2.916666666666666852e-01,1.830802190317439909e+03,1.347916452676409094e+01,2.886611128613045096e+01,4.746623819922643015e+05,1.262421139410200865e+01,6.661067280477193542e+00,2.149830191638996979e+01,1.881869510494334596e+00,2.265926350406020973e+01,7.489078615748712586e+00,1.476298088194518687e+00,-2.759312777232284519e-01,0.000000000000000000e+00,2.509755722328095544e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.370566829267771070e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.103725110892913808e+00,1.254853374965340862e+02,5.953763654987593412e+00,1.358246044613683523e+02,8.243170994370333515e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.768491851374683232e-01,5.113981362775835704e-01,6.039157410066217091e-01,1.006246925325469554e+00,8.819315345342648715e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.166169012107196701e-02,8.166169012107197034e+01,5.719004226872137764e+01,9.888884369244150818e-01,5.245236345012405099e-01,9.885206264461521286e-01,3.699999999999999956e-01,1.025602118964375364e+00,-2.747723664790110987e-01,1.521499579458745366e+00,1.045604226902329970e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.719004226902330146e+01,3.019238192791817710e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.023577098305783029e+00,2.246691991667230326e+00,2.146542618104089861e+00,1.109166676034143073e+01,4.393234609771320187e+00,6.698432150570110544e+00,8.753059348667158179e-02,2.999999999999999737e-04,1.122965519798306833e+00,-5.309999999999999616e-03,2.934721314089929223e+01,1.022796272555167141e+00,2.096007715404730298e+00,2.103112133997493860e+00,2.096007715404730298e+00,5.434794049883758049e+01,1.086958809976751655e+08,1.051556066998746957e+02,2.103112133997493982e+08,2.436693536847207397e+01,1.838704825671843537e+02,9.719509302264602857e-01,1.105242852741912785e+01,1.070801469537354889e+00,5.438610841925703987e-01,1.668792293244828695e+00,1.008000000000000007e+00,7.658368557519420472e-01,1.115198519571676927e+00,4.083084506053598517e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.719509295107958691e-01,1.077716671408916360e+00,9.854460681389412002e-01,1.070698994373048496e+00,1.443172074287128126e+00,9.846600667382185978e-01
4.350000000000000000e+02,3.020833333333333148e-01,1.815913920697323647e+03,1.339501452676409166e+01,2.888709664110331232e+01,4.746518317825212725e+05,1.263339721508742919e+01,6.665919853191601518e+00,2.151557902876387374e+01,1.883242493918478422e+00,2.267639151528681296e+01,7.494739568611742619e+00,1.498657423475366235e+00,-2.730491575639463764e-01,0.000000000000000000e+00,2.632756378747296253e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.372358727546275858e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.092196630255785506e+00,1.273858809954061257e+02,5.953763654987593412e+00,1.355664017436496351e+02,8.157070534876892376e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.775965549487826145e-01,5.137095441950576546e-01,6.039316717451644889e-01,1.006264576782639253e+00,8.819393282033229919e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.168401580963122188e-02,8.168401580963121944e+01,5.719290087160709390e+01,9.897807371427916889e-01,5.245236345012405099e-01,9.891773823475926708e-01,3.699999999999999956e-01,1.026283498477997380e+00,-2.719023511625630607e-01,1.542897836606226480e+00,1.045890087191180839e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.719290087191181016e+01,3.047162522307189647e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.018629375616286303e+00,2.253081489199646015e+00,2.132823960016889231e+00,1.107360810328309420e+01,4.385905449216535246e+00,6.687702654066558949e+00,8.755037860781057779e-02,2.999999999999999737e-04,1.114194584400602928e+00,-5.309999999999999616e-03,2.936854825178836492e+01,1.027419088390115309e+00,2.096999154033175827e+00,2.104013499773479179e+00,2.096999154033175827e+00,5.435337362983756293e+01,1.087067472596751302e+08,1.052006749886739527e+02,2.104013499773479104e+08,2.438604426966004013e+01,1.839400928881715629e+02,9.712534865511448512e-01,1.106811896992973665e+01,1.070801469537354889e+00,5.436552653085595654e-01,1.669962196718703051e+00,1.008000000000000007e+00,7.660750726593176241e-01,1.114436048520207390e+00,4.084200790481560972e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.712534858359939127e-01,1.079246638459462337e+00,9.854460681389412002e-01,1.070996385888861369e+00,1.463062366988737040e+00,9.846600667382185978e-01
4.500000000000000000e+02,3.125000000000000000e-01,1.801154921089852678e+03,1.331086452676409237e+01,2.890746099799501323e+01,4.746411503092829371e+05,1.264231112697653359e+01,6.670628726869406222e+00,2.153231890374974000e+01,1.884574798461031708e+00,2.269300527441996707e+01,7.500230556799818871e+00,1.520542664136636635e+00,-2.701971412832388508e-01,0.000000000000000000e+00,2.754472288011227761e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.374096825799268018e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.080788565132955403e+00,1.292461264516141171e+02,5.953763654987593412e+00,1.353146459772225114e+02,8.071869398392140793e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.783196163124631695e-01,5.159486813749489809e-01,6.039471417381945262e-01,1.006281686157773914e+00,8.819469238733058658e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.170593198064292351e-02,8.170593198064293006e+01,5.719570703946766344e+01,9.906420802492440503e-01,5.245236345012405099e-01,9.898135841619575270e-01,3.699999999999999956e-01,1.026935950308349499e+00,-2.690623132797380079e-01,1.563847728506247092e+00,1.046170703977502114e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.719570703977502291e+01,3.073594712077465374e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.013820678820529730e+00,2.259217547179665164e+00,2.119546521291423513e+00,1.105600926019972086e+01,4.378764068471088677e+00,6.677245191728632179e+00,8.756975201448663482e-02,2.999999999999999737e-04,1.105725842470893783e+00,-5.309999999999999616e-03,2.938925201462826209e+01,1.031897362749897962e+00,2.097960817167248138e+00,2.104887795095313319e+00,2.097960817167248138e+00,5.435843389852552576e+01,1.087168677970510572e+08,1.052443897547656633e+02,2.104887795095313191e+08,2.440467481533023530e+01,1.840074984686214066e+02,9.705779637032713181e-01,1.108335492106440867e+01,1.070801469537354889e+00,5.434561136488298416e-01,1.671097917933429100e+00,1.008000000000000007e+00,7.663089199812519459e-01,1.113688961435767455e+00,4.085296599032145792e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.705779629886178705e-01,1.080732288287631127e+00,9.854460681389412002e-01,1.071284710970233034e+00,1.482529116255621560e+00,9.846600667382185978e-01
4.650000000000000000e+02,3.229166666666666852e-01,1.786520776904575087e+03,1.322671452676409309e+01,2.892722892148587022e+01,4.746303490149940480e+05,1.265096389145943334e+01,6.675199593007699050e+00,2.154854566874133326e+01,1.885868036781399359e+00,2.270912574207718393e+01,7.505558507974662064e+00,1.541966408286805423e+00,-2.673749144632298624e-01,0.000000000000000000e+00,2.874916866071466188e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.375783316884631091e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.069499657852919450e+00,1.310671447043784497e+02,5.953763654987593412e+00,1.350691264478092819e+02,7.987558193749974000e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.790195165026245316e-01,5.181188555702845866e-01,6.039621691279686289e-01,1.006298276136047276e+00,8.819543281773126742e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.172744633983224094e-02,8.172744633983224105e+01,5.719846175895158780e+01,9.914740458952262525e-01,5.245236345012405099e-01,9.904301391909593466e-01,3.699999999999999956e-01,1.027561253062072133e+00,-2.662519397916657815e-01,1.584360775346093986e+00,1.046446175926148925e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.719846175926149101e+01,3.099032142017676961e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.009145608373271497e+00,2.265114139110616875e+00,2.106689964828901473e+00,1.103885478393134889e+01,4.371804103939518349e+00,6.667050679991830542e+00,8.758872519482324703e-02,2.999999999999999737e-04,1.097544356455629977e+00,-5.309999999999999616e-03,2.940934940351063531e+01,1.036237711140569173e+00,2.098893918861073349e+00,2.105736123727015130e+00,2.098893918861073349e+00,5.436314369886594022e+01,1.087262873977318853e+08,1.052868061863507592e+02,2.105736123727015257e+08,2.442284324347843949e+01,1.840727931286951389e+02,9.699234195276077442e-01,1.109815394774693331e+01,1.070801469537354889e+00,5.432633378365951948e-01,1.672200778171744062e+00,1.008000000000000007e+00,7.665384799384574732e-01,1.112956897706461223e+00,4.086372316991611342e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.699234188134362444e-01,1.082175333835206033e+00,9.854460681389412002e-01,1.071564345822480391e+00,1.501583549221679803e+00,9.846600667382185978e-01
4.800000000000000000e+02,3.333333333333333148e-01,1.772007271067952161e+03,1.314256452676409204e+01,2.894642368757811113e+01,4.746194388300710125e+05,1.265936570494397273e+01,6.679637843617848070e+00,2.156428177794136047e+01,1.887123736478830915e+00,2.272477269464476635e+01,7.510729958399541495e+00,1.562940767464368719e+00,-2.645821657875569999e-01,0.000000000000000000e+00,2.994103399128451315e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.377420269768346373e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.058328663150228000e+00,1.328499652344713411e+02,5.953763654987593412e+00,1.348296420732315255e+02,7.904127620610084115e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.796973257977623639e-01,5.202231561375002533e-01,6.039767710583571203e-01,1.006314368091862033e+00,8.819615474376225617e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.174856643816817703e-02,8.174856643816818291e+01,5.720116599689229275e+01,9.922781000903297954e-01,5.245236345012405099e-01,9.910278985882400304e-01,3.699999999999999956e-01,1.028161038048326592e+00,-2.634709206870027853e-01,1.604448069370912444e+00,1.046716599720463137e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.720116599720463313e+01,3.123403757854248397e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.004599061540043747e+00,2.270784217637853875e+00,2.094235276107369703e+00,1.102212995285800190e+01,4.365019493745223578e+00,6.657110459112778322e+00,8.760730906069399970e-02,2.999999999999999737e-04,1.089636214567325956e+00,-5.309999999999999616e-03,2.942886408237108142e+01,1.040446312275000507e+00,2.099799604555853794e+00,2.106559527052577430e+00,2.099799604555853794e+00,5.436752393899410407e+01,1.087350478779882044e+08,1.053279763526288662e+02,2.106559527052577436e+08,2.444056497381455983e+01,1.841360652654375372e+02,9.692889675626599200e-01,1.111253270199550869e+01,1.070801469537354889e+00,5.430766637477947301e-01,1.673272032497858275e+00,1.008000000000000007e+00,7.667638331003858720e-01,1.112239508318303205e+00,4.087428321908408435e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.692889668489554911e-01,1.083577398831992777e+00,9.854460681389412002e-01,1.071835645070250864e+00,1.520236459143337271e+00,9.846600667382185978e-01
4.950000000000000000e+02,3.437500000000000000e-01,1.757610403439792663e+03,1.305841452676409098e+01,2.896506713473054972e+01,4.746084301230066922e+05,1.266752613302056929e+01,6.683948536333182311e+00,2.157954783421811840e+01,1.888343330122973951e+00,2.273996461774127553e+01,7.515751017728049099e+00,1.583477327546353841e+00,-2.618185873202652503e-01,0.000000000000000000e+00,3.112045031356248614e+02,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,9.599999999999999645e-01,2.379009618378857027e+01,0.000000000000000000e+00,1.012000000000000011e+00,-1.047274349281061001e+00,1.345955728414400880e+02,5.953763654987593412e+00,1.345960032006529445e+02,7.821568478050625606e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.803540416320314366e-01,5.222644665146567444e-01,6.039909635781095520e-01,1.006329981987979627e+00,8.819685876129916835e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.506422011141587802e-01,8.176929946548841532e-02,8.176929946548841599e+01,5.720382067388361946e+01,9.930556032808123268e-01,5.245236345012405099e-01,9.916076589803679564e-01,3.699999999999999956e-01,1.028736802686717855e+00,-2.607189492683542054e-01,1.624120095739553848e+00,1.046982067419826024e+01,7.340000000000000968e-01,1.873400000000000176e+01,5.720382067419826200e+01,3.146425342492875643e-10,1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,1.000176234612364823e+00,2.276239814991705579e+00,2.082164711707653382e+00,1.100582089257202867e+01,4.358404526699358961e+00,6.647416365872669708e+00,8.762551382538863454e-02,2.999999999999999737e-04,1.081988477095288559e+00,-5.309999999999999616e-03,2.944781825364272621e+01,1.044528933029313489e+00,2.100678944919566860e+00,2.107358978475391886e+00,2.100678944919566860e+00,5.437159406369736558e+01,1.087431881273947358e+08,1.053679489237695890e+02,2.107358978475391865e+08,2.445785446342617675e+01,1.841973974508931349e+02,9.686737806345555590e-01,1.112650683833014043e+01,1.070801469537354889e+00,5.428958355758523036e-01,1.674312865768942782e+00,1.008000000000000007e+00,7.669850561831883518e-01,1.111536462550377191e+00,4.088464973274420089e+01,0.000000000000000000e+00,1.260000000000000009e-01,9.686737799213041011e-01,1.084940009742256795e+00,9.854460681389412002e-01,1.072098940008100687e+00,1.538498042898613249e+00,9.846600667382185978e-01
